11,Buenos Aires,C,,-34.6084175,-58.37316130000001
220,Pontevedra,B,,-34.74426400000001,-58.7001579
2202,González Catán,B,,-34.7627204,-58.6300804
221,La Plata,B,,-34.9173012,-57.9501305
2221,Atalaya,B,,-35.0268593,-57.53101729999999
2223,Altamirano,B,,-35.36700800000001,-58.1614
2224,Glew,B,,-34.8854021,-58.3812772
2225,Alejandro Korn,B,,-34.9710848,-58.38823009999999
2226,Alejandro Petión,B,,-34.6084175,-58.37316130000001
2227,Antonio Carboni,B,,-35.2000008,-59.3333282
2229,Juan María Gutiérrez,B,,-34.5871849,-58.3991699
223,Mar del Plata,B,,-37.9798584,-57.5897942
2241,Chascomús,B,,-35.5654907,-58.0160484
2242,Pila,B,,-36.0017624,-58.1404037
2243,General Belgrano,B,,-35.7671432,-58.4959946
2244,Las Flores,B,,-33.75,-59.9333305
2245,Dolores,B,,-36.3145485,-57.68008039999999
2246,Santa Teresita,B,,-36.5437544,-56.702013
2252,San Clemente del Tuyú,B,,-36.3695702,-56.7175713
2254,Cariló,B,,-37.1615028,-56.8993073
2255,Villa Gesell,B,,-37.2633972,-56.9732704
2257,Mar de Ajó,B,,-36.7311783,-56.6819267
2261,Lobería,B,,-38.1640892,-58.7817154
2262,Necochea,B,,-38.5544968,-58.73960879999999
2264,Claraz,B,,-37.8900948,-59.2902184
2265,Coronel Vidal,B,,-37.4456291,-57.726944
2266,Mechongué,B,,-38.15000149999999,-58.216671
2267,General Madariaga,B,,-37.03333,-57.13333
2268,General Guido,B,,-36.7210945,-57.9162555
2271,Abbott,B,,-35.282589,-58.8043213
2272,Las Marianas,B,,-35.06560899999999,-59.5156784
2273,Carmen de Areco,B,,-34.3806686,-59.8223267
2274,Carlos Spegazzini,B,,-34.6193051,-58.4263416
2281,Azul,B,,-36.7749672,-59.8540382
2283,Tapalqué,B,,-36.355545,-60.0236549
2284,Olavarría,B,,-36.8920898,-60.3149414
2285,Laprida,B,,-37.5454292,-60.7987099
2286,La Colina,B,,-37.3615913,-61.5340996
2291,Mar del Sur,B,,-38.34144209999999,-57.99058909999999
2292,Benito Juárez,B,,-37.6734123,-59.8051033
2293,Tandil,B,,-37.3178101,-59.1503906
2296,Ayacucho,B,,-37.1502686,-58.4829712
2297,Rauch,B,,-36.7749176,-59.0897865
2302,General Pico,L,,-35.6569519,-63.75454709999999
2314,Espigas,B,,-36.4169312,-60.6774902
2316,Arboledas,B,,-36.8838501,-61.4822388
2317,Carlos María Naón,B,,-35.246891,-60.8367882
2320,Del Viso,B,,-34.4792247,-58.79967199999999
2322,Fátima,B,,-34.4259919,-58.9965377
2323,Luján,B,,-34.565731,-59.1174316
2324,Mercedes,B,,-34.6546021,-59.4284134
2325,Azcuénaga,B,,-34.3833313,-59.34999850000001
2326,Duggan,B,,-34.2072449,-59.6355782
2331,Realicó,L,,-35.0380173,-64.2465744
2333,Quemú Quemú,L,,-36.0488892,-63.5504112
2334,Eduardo Castex,L,,-35.9136543,-64.2888718
2335,Ingeniero Luiggi,L,,-35.3858719,-64.4675903
2336,Huinca Renancó,X,,-34.8402596,-64.37178039999999
2337,Fortín Olavarría,B,,-35.7110596,-63.02032089999999
2338,Victorica,L,,-36.2161713,-65.4323502
2342,Bragado,B,,-35.1199112,-60.48142619999999
2343,Elvira,B,,-35.2331505,-59.4827309
2344,Álvarez de Toledo,B,,-35.6375122,-59.62751009999999
2345,Mosconi,B,,-35.7412682,-60.56213
2346,Chivilcoy,B,,-34.8972397,-60.018837
2352,Chacabuco,B,,-34.63593290000001,-60.4651222
2353,Arribeños,B,,-34.2097626,-61.3543663
2354,El Dorado,B,,-34.6508789,-61.5838585
2355,Lincoln,B,,-34.8678589,-61.53442
2356,Coronel Granada,B,,-34.7897377,-62.20030209999999
2357,Carlos Salas,B,,-35.3924484,-61.99036030000001
2358,Zavalía,B,,-34.8937607,-61.00455859999999
2362,Junín,B,,-34.5822105,-60.94940190000001
237,Francisco Álvarez,B,,-34.6056091,-58.85812389999999
2392,Berutti,B,,-35.8551674,-62.51066590000001
2393,Salazar,B,,-36.3066902,-62.20112990000001
2394,Quenumá,B,,-36.5679893,-63.08898929999999
2395,Bellocq,B,,-35.9170494,-61.5426598
