100,Bomberos,Fire department
101,Policía,Police
102,Teléfono del niño,Child services
103,Defensa civil,Civil defense
106,Prefectura Naval,Coast Guard
107,Servicio público de emergencias médicas,Ambulance
110, Información de guía telefónica,Phone directory
112,Atención comercial al cliente de la compañía telefónica,Customer service
113,Hora oficial,Official time
114,Servicio de reparación de la línea telefónica,Phone repair service
115,Prueba de línea,Ring test
121,Información del consumo de la línea,Phone usage info
125,Asistencia para hipoacúsicos,Assistance service for the hearing-impaired
911,Emergencias,Emergency
